State,Population,Black_Population_Percentage,White_Population_Percentage,Hispanic_Population_Percentage,Poverty_Rate,Unemployment_Rate,Black_Poverty_Rate,White_Poverty_Rate,Hispanic_Poverty_Rate
Alabama,4864680.0,26.583166827006092,68.19468084231646,4.175937574516721,17.049425655952703,3.040241084716775,27.374948383295212,12.568738728174896,31.446841188111012
Alaska,738516.0,3.2672277919503436,64.83732241413863,6.930926344182116,10.543441171213622,3.800459299459998,16.229433461809442,6.974442082224738,10.641581682491307
Arizona,6946685.0,4.394311819234642,77.21871655329124,31.14164525957345,15.72249209515042,3.0261052573997524,20.67195398006283,13.70251080275481,22.69834402064982
Arkansas,2990671.0,15.413597818014754,77.00191696111006,7.324510118297867,17.06429761080373,2.533678896809445,29.064147341475582,14.05990948701492,27.013220605153116
California,39148760.0,5.792967644441357,60.101694153275865,38.881377085762104,14.016129757366516,3.375590951028845,20.963942016204598,12.800800269691939,18.876079659814486
Colorado,5531141.0,4.120994203546791,84.17040896263538,21.42042663530002,10.675988914403014,2.51893777432179,17.779396151585082,9.735255555479183,17.245360796898026
Connecticut,3581504.0,10.561540626507746,76.36121584675041,15.68589620449956,9.72912497096192,3.5155342559997136,17.639096710745463,7.4338179371672615,22.158240342048913
Delaware,949495.0,22.105645632678424,68.97403356521097,9.090621856881816,11.563831299796208,3.0017009041648457,18.0888266346502,8.849527794107543,20.770433875919597
District of Columbia,684498.0,46.9419925259095,40.97440752200883,10.924210151088827,15.996686622897363,4.291173969828984,24.71889131294018,6.4916265255696715,13.468225098962233
Florida,20598139.0,16.10036712539905,75.3907816623628,25.17081761609629,14.486022256670857,3.0244382757102475,22.633621760620628,12.514893009239817,18.629511333302474
Georgia,10297484.0,31.457198671054016,59.043315823554565,9.40485073829685,15.612687526389943,3.1352707127294397,22.27438026734171,11.678631626177472,24.3323699511494
Hawaii,1422029.0,1.8470790680077551,25.007366235147106,10.404991740674769,9.670407565527848,2.2528373190701454,9.978679661920353,9.259811254963275,13.472378043011043
Idaho,1687809.0,0.683489660263691,90.48784548488604,12.387242869305709,13.560894627294914,2.2320061096960617,30.19244105409154,12.785298134832138,21.297345903105615
Illinois,12821497.0,14.227082843758415,71.67014116994295,16.962465459376546,12.75672411731641,3.4094224722744935,26.1979305146303,9.624553211193376,16.835199982343546
Indiana,6637426.0,9.333015539457614,83.5907925753146,6.783759246430771,13.685410579342053,2.7264936739031067,27.346030167626623,11.41193923807337,23.883162656823618
Iowa,3132499.0,3.5087321655968604,90.27581493242296,5.851430439403173,11.28919753845093,2.0819160676507797,30.98506973824276,9.931436488490178,21.123756110335197
Kansas,2908776.0,5.837541288844517,84.59293531024733,11.70994260128659,12.04217856582975,2.235923288696001,23.02989970612658,10.5777855084432,20.325821452897106
Kentucky,4440204.0,7.975129070646305,87.08329617287855,3.575151051618349,17.38839026315007,2.890813124802374,27.44272998373396,16.11539213526036,27.750970115405938
Louisiana,4663616.0,32.22640972155512,62.207222893137,5.03729295036298,18.835041307002978,3.213171924961232,30.976182301605675,12.391136345931516,21.843606334071172
Maine,1332813.0,1.3415985588375863,94.47814509612377,1.607202210662711,12.13546086360202,2.416167909526693,33.9298696940887,11.43123067747656,19.64427431025629
Maryland,6003435.0,29.784448403289115,56.18751598043453,9.80958401315247,9.219655080799576,3.016423097776523,13.226235815870565,6.804941685607739,13.251895019969028
Massachusetts,6830193.0,7.475015713318789,78.47517632371442,11.553509542116892,10.399486515241955,2.9788909332430284,18.902651608632123,8.253703447346886,25.74300461142503
Michigan,9957488.0,13.812961662620129,78.51968287584178,5.000226964873068,14.632284769010015,3.223784954598991,28.919227816295194,11.638188378771206,22.095935504732907
Minnesota,5527358.0,6.190769622666019,83.33174728324093,5.296635390723742,9.904225490731738,2.156871329846918,29.335215350715693,7.491482929820037,19.461409189654468
Mississippi,2988762.0,37.6689077283504,58.59258783402627,3.027775379906463,20.068342678339725,3.6816581581270102,31.39628044631802,12.611117107023611,23.981965455891615
Missouri,6090062.0,11.574529126304462,82.23794765964615,4.090352446329774,13.758973225559936,2.5608606283482827,24.852744234610498,11.716751771344688,22.582445153650067
Montana,1041732.0,0.44445212396278505,88.85605894798279,3.745589076653112,13.349210737502542,2.1534329366862113,19.20086393088553,11.743417001389306,18.465363028268282
Nebraska,1904760.0,4.77015477015477,87.48939498939498,10.672263172263172,11.223986223986223,1.9186144186144185,25.67246313009025,9.649239137022544,21.029510874110223
Nevada,2922849.0,8.933851868502272,66.20605443524452,28.451589527888714,13.460531146152263,3.4811240676476958,23.661646044201394,11.314178108348754,17.80261352554182
New Hampshire,1343622.0,1.5269175407964444,93.03315962376323,3.598928865410063,7.617618645720299,2.261945696036534,17.674010528368104,7.271038564368079,16.916204814293987
New Jersey,8881845.0,13.474272518829139,67.9109689484561,19.905999260288826,10.179551658467357,3.2097385171661967,17.505456380706637,7.90343162602808,18.71121367405346
New Mexico,2092434.0,2.0553097493158683,74.5010834272431,48.5439923075232,19.612996156629073,3.2674865730532,21.896944612379666,17.202220046879628,23.455059360020318
New York,19618453.0,15.638842675311862,63.79172200784639,18.888278295949227,14.262006285612836,3.071781449842146,20.82145980295942,10.484229700017156,23.073854945557898
North Carolina,10155624.0,21.46221640344306,68.87060804929366,9.216075742859326,15.005961228970275,3.0781958843690944,22.641357079346786,11.770514022967472,27.84411560446605
North Dakota,752201.0,2.7180235070147476,87.11341782316163,3.526849871244521,10.538406622697922,1.5539729407432323,24.974321349963315,8.279207896616345,17.59583851634061
Ohio,11641879.0,12.354285764351271,81.51460773643156,3.7049603418829555,14.13849087419651,2.948252597368518,29.826785077360245,11.196141301553073,25.08746264435104
Oklahoma,3918137.0,7.349385690188985,72.42656395118394,10.400886952140775,15.51272964676835,2.528931479425043,26.389173458721555,13.107078369932468,24.159000395071665
Oregon,4081943.0,1.905685601195313,84.41893970591946,12.835946018844457,13.847498605443533,3.025152482530991,27.353481854760958,12.843140014620133,21.850498896853935
Pennsylvania,12791181.0,11.127346255205051,80.84821878448909,7.076406783705116,12.344043915882356,2.9689596292945897,25.349271667138566,9.686444114853614,28.271922187998534
Puerto Rico,3386941.0,10.776981352790024,67.42721529545392,98.88982418058065,44.144849290259266,6.198808895696736,45.36588038683872,42.334874678156694,44.243940597252
Rhode Island,1056611.0,6.554351601488154,80.87195760786136,15.034672173581384,12.592619232622035,3.2631687536851315,20.388714009299104,10.448424930544341,26.33546941293482
South Carolina,4955925.0,27.025429158028018,67.25255123917331,5.562735513551961,15.549710699818903,3.0920968335880787,24.77795364950424,11.188045794371773,26.914775921794803
South Dakota,864289.0,1.8791168231922422,84.46966234673819,3.701886753157798,13.090991554908138,1.8803895456265207,25.066190505510743,8.855686229388738,22.090951711204877
Tennessee,6651089.0,16.801594445661454,77.67496420510987,5.2984105309671845,15.734385752468505,2.8798892933172295,25.475687008999643,13.246504076182426,27.790137399901248
Texas,27885195.0,12.070143314400347,74.30713322965825,39.16614533267564,15.111739401499612,2.664517856159873,19.4441828246206,14.173631002328158,21.659779980068773
Utah,3045350.0,1.1775986339829576,86.42868635788989,13.861231057185543,10.176301574531662,1.9360007880867551,23.872065138586805,8.967932293233883,18.28495485912874
Vermont,624977.0,1.2893274472500589,94.33083137459458,1.868388756706247,10.725834710717354,2.2205617166711735,20.637875403325886,10.33591950416083,14.490023122377323
Virginia,8413774.0,19.174332469590937,68.01537573982853,9.165649089219654,10.620442146413726,2.5870673493250473,17.7778259885885,8.589571982259999,14.296588202189639
Washington,7294336.0,3.699500543983716,76.03155379735729,12.496997670521347,11.263821683015426,2.7189589292294736,20.76863785602585,9.95750628786853,19.193745317160555
West Virginia,1829054.0,3.6482247106974426,93.1817759344448,1.5047122720269603,17.247385807089348,2.938677589617365,26.164428725572474,16.66839753688367,21.048615652932202
Wisconsin,5778394.0,6.381427088564746,85.59412874926839,6.6762321849288915,11.564112796739025,2.1596312054871993,31.139218536437202,9.209808559136881,22.187832930252814
Wyoming,581836.0,0.9521583401508329,91.43607477021017,9.790731408850604,10.88124488687534,2.3520373438563444,11.371841155234657,10.229545420369618,20.535055998314782
